"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Hormone and Metabolic Research","Hormone and Metabolic Research","0.538","Q2","104","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Ccamlr Science","CCAMLR Science","0.105","Q4","35","Agricultural and Biological Sciences","No","exact","1.0","1"
"Annales pharmaceutiques françaises","Annales Pharmaceutiques Francaises","0.273","Q3","34","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Chemie in Unserer Zeit","Chemie in Unserer Zeit","0.191","Q4","26","Chemistry","No","exact","1.0","1"
"Faraday Discussions","Faraday Discussions","0.878","Q1","124","Chemistry; Medicine","No","exact","1.0","1"
"Journal of Palaeogeography","Journal of Palaeogeography (Chinese Edition)","0.511","Q2","21","Earth and Planetary Sciences; Social Sciences","No","exact","1.0","1"
"Frontiers In Neuroscience","Frontiers in Neuroscience","1.068","Q2","170","Neuroscience","Yes","exact","1.0","1"
"Geoscience","Geoscience","0.286","Q3","13","Earth and Planetary Sciences; Energy","No","exact","1.0","1"
"ANZ Journal of Surgery","ANZ Journal of Surgery","0.483","Q2","89","Medicine","No","exact","1.0","1"
"Innovative Food Science & Emerging Technologies","Innovative Food Science and Emerging Technologies","1.502","Q1","154","Agricultural and Biological Sciences; Chemistry; Engineering","No","exact","1.0","1"
"Quarterly Journal of Microscopical Science","Quarterly Journal of Political Science","1.828","Q1","46","Social Sciences","No","fuzzy","0.85","1"
"Sedimentology","Sedimentology","1.351","Q1","131","Earth and Planetary Sciences","No","exact","1.0","1"
"Revista Ciencias Marinas y Costeras","Revista Ciencias Marinas y Costeras","0.221","Q3","4","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Studia Universitatis ""Babeş-Bolyai""","Studia Universitatis Babes-Bolyai Chemia","0.161","Q4","16","Chemistry","Yes","fuzzy","0.8767","1"
"Taxonomy","Taxonomy","0.425","Q2","9","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Acta Neurobiologiae Experimentalis","Acta Neurobiologiae Experimentalis","0.421","Q3","63","Medicine; Neuroscience","Yes","exact","1.0","1"
"Journal of Immunogenetics","Journal of Genetics","0.352","Q4","50","Biochemistry, Genetics and Molecular Biology","Yes","fuzzy","0.8636","1"
"Chromosoma","Chromosoma","1.013","Q2","97","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Clinical and Experimental Immunology","Clinical and Experimental Immunology","1.308","Q1","162","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Chelonian Conservation and Biology","Chelonian Conservation and Biology","0.334","Q2","38","Agricultural and Biological Sciences","No","exact","1.0","1"
"Research in Veterinary Science","Research in Veterinary Science","0.608","Q1","93","Veterinary","No","exact","1.0","1"
"Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","0.647","Q1","28","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"The Texas Journal of Science","Texas Journal of Science","0.108","Q4","17","Agricultural and Biological Sciences","No","exact","1.0","1"
"Journal of Biosciences","Journal of Biosciences","0.521","Q2","91","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Engineering Failure Analysis","Engineering Failure Analysis","1.159","Q1","113","Engineering; Materials Science","No","exact","1.0","1"
"Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health and Management","0.3","Q3","51","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","1"
"Geoheritage","Geoheritage","0.686","Q1","50","Earth and Planetary Sciences; Environmental Science; Social Sciences","No","exact","1.0","1"
"National Academy Science Letters","National Academy Science Letters","0.264","Q3","31","Engineering","Yes","exact","1.0","1"
"Animal Biodiversity and Conservation","Animal Biodiversity and Conservation","0.378","Q2","42","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"BMC Microbiology","BMC Microbiology","1.032","Q1","147","Immunology and Microbiology; Medicine","Yes","exact","1.0","1"
"Evolutionary Biology","Evolutionary Biology","0.624","Q2","53","Agricultural and Biological Sciences","No","exact","1.0","1"
"Molecular Genetics and Genomics","Molecular Genetics and Genomics","0.551","Q2","138","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Applied Microbiology and Biotechnology","Applied Microbiology and Biotechnology","0.967","Q1","281","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Transplantation Proceedings","Transplantation Proceedings","0.298","Q3","93","Medicine","No","exact","1.0","1"
"Proceedings of the Geological Association","Proceedings of the Geologists' Association","0.391","Q2","50","Earth and Planetary Sciences","No","fuzzy","0.9268","1"
"Advances in Anatomy","Advances in Astronomy","0.261","Q3","34","Earth and Planetary Sciences; Physics and Astronomy","Yes","fuzzy","0.85","1"
"Journal of Pharmacokinetics and Biopharmaceutics","Journal of Pharmacokinetics and Pharmacodynamics","0.887","Q2","72","Pharmacology, Toxicology and Pharmaceutics","No","fuzzy","0.875","1"
"Advanced Optical Materials","Advanced Optical Materials","1.995","Q1","163","Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Veterinary Research Communications","Veterinary Research Communications","0.568","Q1","65","Medicine; Veterinary","No","exact","1.0","1"
"Scripta Geologica","Scripta Theologica","0.28","Q1","7","Arts and Humanities","Yes","fuzzy","0.9143","1"
"Geochimica Et Cosmochimica Acta","Geochimica et Cosmochimica Acta","2.023","Q1","294","Earth and Planetary Sciences","No","exact","1.0","1"
"Parasitologia","Parasitologia","0.38","Q2","7","Immunology and Microbiology; Medicine; Veterinary","Yes","exact","1.0","1"
"Bulletin of the British Museum of Natural History (Zoology)","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.8889","1"
"Food Science &amp; Nutrition","Food Science and Nutrition","0.849","Q1","74","Agricultural and Biological Sciences","Yes","fuzzy","0.9455","1"
"Journal of Economic Perspectives","Journal of Economic Perspectives","8.262","Q1","239","Economics, Econometrics and Finance","No","exact","1.0","1"
"Molecular and Cellular Neuroscience","Molecular and Cellular Neuroscience","1.022","Q2","151","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","1"
"Frontiers in Fish Science","Frontiers in Insect Science","0.736","Q1","12","Agricultural and Biological Sciences","Yes","fuzzy","0.8846","1"
"Professional Geographer","Professional Geographer","0.606","Q2","93","Earth and Planetary Sciences; Social Sciences","No","exact","1.0","1"
"Boletin Geologico y Minero","Boletin Geologico y Minero","0.272","Q3","25","Earth and Planetary Sciences","Yes","exact","1.0","1"
"One Earth","One Earth","3.509","Q1","73","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Biomass Conversion and Biorefinery","Biomass Conversion and Biorefinery","0.702","Q2","56","Energy","No","exact","1.0","1"
"Revista Internacional De Contaminacion Ambiental","Revista Internacional de Contaminacion Ambiental","0.182","Q4","28","Environmental Science","Yes","exact","1.0","1"
"Studia Universitatis Babeş-Bolyai","Studia Universitatis Babes-Bolyai Chemia","0.161","Q4","16","Chemistry","Yes","fuzzy","0.8767","1"
"American Journal of Otolology","American Journal of Ophthalmology","2.103","Q1","221","Medicine","No","fuzzy","0.9032","1"
"Journal of Molecular Neuroscience","Journal of Molecular Neuroscience","1.019","Q1","103","Medicine; Neuroscience","No","exact","1.0","1"
"Earth Sciences Research Journal","Earth Sciences Research Journal","0.21","Q3","25","Earth and Planetary Sciences","Yes","exact","1.0","1"
"The Philippine Journal of Fisheries","Philippine Journal of Fisheries","0.207","Q4","7","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Journal of Supramolecular Structure","Journal of Molecular Structure","0.628","Q2","134","Chemistry","No","fuzzy","0.9231","1"
"Social Sciences & Humanities Open","Social Sciences and Humanities Open","0.614","Q1","33","Decision Sciences; Psychology; Social Sciences","Yes","exact","1.0","1"
"Powder Diffraction","Powder Diffraction","0.153","Q4","53","Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Science Press","Science Progress","0.458","Q1","50","Multidisciplinary","Yes","fuzzy","0.8966","1"
"Glia","GLIA","2.317","Q1","194","Neuroscience","No","exact","1.0","1"
"Ichthyology & Herpetology","Ichthyology and Herpetology","0.587","Q1","78","Agricultural and Biological Sciences","No","exact","1.0","1"
"Canadian Journal of Biochemistry","Canadian Journal of Chemistry","0.254","Q3","74","Chemical Engineering; Chemistry","No","fuzzy","0.9508","1"
"Journal of Marine Sciences","Journal of Marine Sciences","0.33","Q3","16","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Nature Geoscience","Nature Geoscience","5.138","Q1","280","Earth and Planetary Sciences","No","exact","1.0","1"
"Clinics and Research in Hepatology and Gastroenterology","Clinics and Research in Hepatology and Gastroenterology","0.752","Q2","70","Medicine","No","exact","1.0","1"
"Visnyk of Taras Shevchenko National University of Kyiv–Geology(","Visnyk of Taras Shevchenko National University of Kyiv. Geology","0.238","Q3","5","Earth and Planetary Sciences","No","exact","1.0","1"
"Journal of Animal and Plant Sciences","Journal of Animal and Plant Sciences","0.198","Q4","46","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Progress in Natural Science","Progress in Natural Science: Materials International","1.11","Q1","88","Materials Science; Multidisciplinary","Yes","substring","0.95","1"
"African Journal of Biotechnology","African Journal of Ecology","0.411","Q2","65","Agricultural and Biological Sciences","No","fuzzy","0.8966","1"
"Journal of Pharmacy and Pharmacology","Journal of Pharmacy and Pharmacology","0.717","Q2","142","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Mitigation and Adaptation Strategies for Global Change","Mitigation and Adaptation Strategies for Global Change","0.851","Q1","94","Environmental Science","No","exact","1.0","1"
"Biologie in unserer Zeit","Biologie in Unserer Zeit","0.11","Q4","11","Agricultural and Biological Sciences","No","exact","1.0","1"
"Neurochemical Research","Neurochemical Research","1.103","Q1","137","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience","No","exact","1.0","1"
"Yaoxue Xuebao","Yaoxue Xuebao","0.164","Q3","37","Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Pesquisa Veterinária Brasileira","Pesquisa Veterinaria Brasileira","0.251","Q3","43","Veterinary","Yes","fuzzy","0.9677","1"
"Revue de Micropaléontologie","Revue de Micropaleontologie","0.358","Q3","35","Earth and Planetary Sciences","No","exact","1.0","1"
"Revue Française d'Aquariologie","Revue Francaise d'Allergologie","0.127","Q4","21","Medicine","No","fuzzy","0.8621","1"
"Systematic Biology","Systematic Biology","2.945","Q1","208","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Journal of Bionic Engineering","Journal of Bionic Engineering","0.904","Q1","69","Biochemistry, Genetics and Molecular Biology; Chemical Engineering","No","exact","1.0","1"
"Undersea and Hyperbaric Medicine","Undersea and Hyperbaric Medicine","0.245","Q3","49","Medicine","No","exact","1.0","1"
"Neurochemistry international","Neurochemistry International","1.193","Q2","141","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","1"
"Inflammopharmacology","Inflammopharmacology","1.269","Q1","74","Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Neuroreport","NeuroReport","0.489","Q3","205","Neuroscience","No","exact","1.0","1"
"Journal of Ethnobiology and Ethnomedicine","Journal of Ethnobiology and Ethnomedicine","0.733","Q1","99","Agricultural and Biological Sciences; Medicine; Social Sciences","Yes","exact","1.0","1"
"Clinical and Experimental Allergy","Clinical and Experimental Allergy","1.542","Q1","176","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Global Environmental Change","Global Environmental Change","3.355","Q1","242","Environmental Science; Social Sciences","No","exact","1.0","1"
"Egyptian Journal of Aquatic Research","Egyptian Journal of Aquatic Research","0.632","Q2","54","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Physical Review Fluids","Physical Review Fluids","1.002","Q1","64","Chemical Engineering; Engineering; Mathematics","No","exact","1.0","1"
"Journal of Plastic","Journal of Elasticity","0.696","Q2","73","Engineering; Materials Science","No","fuzzy","0.8718","1"
"Journal of Tissue Engineering and Regenerative Medicine","Journal of Tissue Engineering and Regenerative Medicine","0.665","Q2","95","Engineering; Materials Science; Medicine","No","exact","1.0","1"
"Transactions of the American Philosophical Society","Transactions of the American Philological Association","0.273","Q1","29","Arts and Humanities; Social Sciences","No","fuzzy","0.8738","1"
"Journal of Biomedical Materials Research","Journal of Biomedical Materials Research - Part A","0.812","Q1","180","Engineering; Materials Science","No","substring","0.95","1"
"Pesquisas em Geociências","Pesquisas em Geociencias","0.205","Q4","20","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Legal Medicine","Legal Medicine","0.456","Q2","55","Medicine; Nursing","No","exact","1.0","1"
"Applied Magnetic Resonance","Applied Magnetic Resonance","0.308","Q3","50","Physics and Astronomy","No","exact","1.0","1"
"Terra Nova","Terra Nova","0.787","Q1","107","Earth and Planetary Sciences","No","exact","1.0","1"
"Neotropical Biology and Conservation","Neotropical Biology and Conservation","0.301","Q3","13","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Bollettino della Societa Paleontologica Italiana","Bollettino della Societa Paleontologica Italiana","0.426","Q3","35","Earth and Planetary Sciences","No","exact","1.0","1"
"International Journal of Environmental Analytical Chemistry","International Journal of Environmental Analytical Chemistry","0.565","Q2","56","Agricultural and Biological Sciences; Chemistry; Environmental Science; Medicine","No","exact","1.0","1"
"Journal of Veterinary Medicine","Journal of Veterinary Medical Science","0.399","Q2","72","Veterinary","Yes","fuzzy","0.8955","1"
"International Journal of Biochemistry & Cell Biology","International Journal of Biochemistry and Cell Biology","0.969","Q2","211","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Transactions of the Royal Society of South Africa","Transactions of the Royal Society of South Africa","0.263","Q2","31","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Medicine; Multidisciplinary","No","exact","1.0","1"
"Journal of Food Engineering","Journal of Food Engineering","1.159","Q1","228","Agricultural and Biological Sciences","No","exact","1.0","1"
"Analytical Biochemistry","Analytical Biochemistry","0.499","Q3","209","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Endeavour","Endeavour","0.179","Q3","31","Arts and Humanities","No","exact","1.0","1"
"American Journal of Tropical Medicine and Hygiene","American Journal of Tropical Medicine and Hygiene","0.726","Q2","173","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Journal of Neuroscience Methods","Journal of Neuroscience Methods","0.726","Q3","180","Neuroscience","No","exact","1.0","1"
"The Journal of Immunology","Journal of Immunology","1.425","Q1","422","Immunology and Microbiology; Medicine","No","exact","1.0","1"
"International Journal for Parasitology–Parasites and Wildlife","International Journal for Parasitology: Parasites and Wildlife","0.618","Q1","44","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","Yes","exact","1.0","1"
"Deep–Sea Research Part I–Oceanographic Research Papers","Deep-Sea Research Part I: Oceanographic Research Papers","0.685","Q1","144","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","1"
"Molecular and Cellular Biochemistry","Molecular and Cellular Biochemistry","1.033","Q1","140","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Advanced Science","Advanced Science","3.775","Q1","220","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Physics and Astronomy","Yes","exact","1.0","1"
"Biology of the Sea","Biology of the Cell","1.036","Q1","96","Biochemistry, Genetics and Molecular Biology; Medicine","No","fuzzy","0.8649","1"
"Cell Biochemistry and Function","Cell Biochemistry and Function","0.728","Q2","75","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Archives of Toxicology","Archives of Toxicology","1.456","Q1","149","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Monographs in Natural Sciences","Monographs in Oral Science","0.133","Q4","54","Dentistry; Medicine","No","fuzzy","0.8929","1"
"Journal of Proteome Research","Journal of Proteome Research","1.139","Q1","191","Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","1"
"Journal of Zoological Systematics and Evolutionary Research","Journal of Zoological Systematics and Evolutionary Research","0.741","Q1","60","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Travel Medicine and Infectious Disease","Travel Medicine and Infectious Disease","0.955","Q1","77","Medicine","Yes","exact","1.0","1"
"Prehospital and Disaster Medicine","Prehospital and Disaster Medicine","0.759","Q1","62","Medicine; Nursing","No","exact","1.0","1"
"Systematic and Applied Microbiology","Systematic and Applied Microbiology","1.008","Q1","121","Agricultural and Biological Sciences; Immunology and Microbiology","No","exact","1.0","1"
"Bulletin of the British Museum of Natural History (Historical Series)","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.8889","1"
"Sensors","Sensors","0.764","Q1","273","Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Engineering; Medicine; Physics and Astronomy","Yes","exact","1.0","1"
"Natural History Sciences","Natural History Sciences","0.283","Q3","11","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","1"
"Natural Science","Natural Sciences","0.88","Q1","12","Biochemistry, Genetics and Molecular Biology; Chemistry; Multidisciplinary; Physics and Astronomy","Yes","fuzzy","0.9677","1"
"Moscow University Biological Sciences Bulletin","Moscow University Biological Sciences Bulletin","0.161","Q4","16","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science","No","exact","1.0","1"
"Veterinary Clinics of North America","Veterinary Clinics of North America - Small Animal Practice","0.798","Q1","91","Veterinary","No","substring","0.95","1"
"Genesis","Genesis (Italy)","0.105","Q4","0","Arts and Humanities; Social Sciences","No","exact","1.0","1"
"Chinese Journal of Analytical Chemistry","Chinese Journal of Analytical Chemistry","0.413","Q3","42","Chemistry","No","exact","1.0","1"
"Journal of the Royal Society","Journal of the Royal Asiatic Society","0.182","Q2","24","Arts and Humanities; Social Sciences","No","fuzzy","0.875","1"
"Iranian Journal of Veterinary Research","Iranian Journal of Veterinary Research","0.318","Q2","30","Agricultural and Biological Sciences; Veterinary","No","exact","1.0","1"
"Journal of the American Leather Chemists Association","Journal of the American Leather Chemists Association","0.181","Q4","35","Chemical Engineering; Chemistry; Materials Science","No","exact","1.0","1"
"Journal of Pharmaceutical Sciences","Journal of Pharmaceutical Sciences","0.737","Q1","216","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Journal of Biomechanics","Journal of Biomechanics","0.8","Q1","233","Biochemistry, Genetics and Molecular Biology; Engineering; Health Professions; Medicine","No","exact","1.0","1"
"Comptes Rendus Geosciences","Comptes Rendus - Geoscience","0.568","Q2","98","Earth and Planetary Sciences; Environmental Science","Yes","fuzzy","0.9804","1"
"Journal of Sedimentary Research","Journal of Sedimentary Research","0.677","Q1","126","Earth and Planetary Sciences","No","exact","1.0","1"
"Journal of Cellular Physiology","Journal of Cellular Physiology","1.377","Q1","212","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Fish Pathology","Fish Pathology","0.181","Q4","48","Agricultural and Biological Sciences","No","exact","1.0","1"
"Journal of the National Cancer Institute","Journal of the National Cancer Institute","5.703","Q1","394","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Bulletin of the Southern Academy of Science","Bulletin of Chinese Academy of Sciences","0.734","Q1","32","Engineering; Social Sciences","No","fuzzy","0.8537","1"
"Hiroshima Journal of Medical Sciences","Hiroshima Journal of Medical Sciences","0.105","Q4","19","Medicine","Yes","exact","1.0","1"
"Scientia Sinica","Scientia Sinica: Physica, Mechanica et Astronomica","0.162","Q4","21","Physics and Astronomy","No","substring","0.95","1"
"Zeitschrift der Deutschen Geologischen Gesellschaft","Zeitschrift der Deutschen Morgenlandischen Gesellschaft","0.114","Q3","10","Arts and Humanities; Social Sciences","No","fuzzy","0.9057","1"
"Annales de Dermatologie et de Venereologie","Annales de Dermatologie et de Venereologie","0.647","Q2","41","Medicine","Yes","exact","1.0","1"
"International Journal of Computer Vision","International Journal of Computer Vision","3.136","Q1","232","Computer Science","No","exact","1.0","1"
"Current Eye Research","Current Eye Research","0.693","Q2","94","Medicine; Neuroscience","No","exact","1.0","1"
"Oceanologia","Oceanologia","0.71","Q1","52","Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering","Yes","exact","1.0","1"
"Journal of Protozoology","Journal of Otology","0.417","Q3","22","Medicine","Yes","fuzzy","0.878","1"
"Journal of the Geological Society of Korea","Journal of the Geological Society of Korea","0.209","Q4","10","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Experimental Cell Research","Experimental Cell Research","1.012","Q2","210","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Earth and Environmental Science Transactions of The Royal Society of Edinburgh","Earth and Environmental Science Transactions of the Royal Society of Edinburgh","0.424","Q2","70","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Reproductive BioMedicine Online","Reproductive BioMedicine Online","1.226","Q1","139","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Rocks and Minerals","Rocks and Minerals","0.205","Q4","10","Earth and Planetary Sciences","No","exact","1.0","1"
"Doklady Biological Sciences","Doklady Biological Sciences","0.265","Q3","21","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Sea Technology","Sea Technology","0.104","Q4","25","Engineering","No","exact","1.0","1"
"Proceedings of the Louisiana Academy of Sciences","Proceedings of the Estonian Academy of Sciences","0.212","Q3","32","Engineering","Yes","fuzzy","0.9053","1"
"Journal of the Mechanics and Physics of Solids","Journal of the Mechanics and Physics of Solids","1.757","Q1","208","Engineering; Physics and Astronomy","No","exact","1.0","1"
"Quaternary Science Reviews","Quaternary Science Reviews","1.334","Q1","221","Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences","No","exact","1.0","1"
"Remote Sensing in Ecology and Conservation","Remote Sensing in Ecology and Conservation","1.271","Q1","45","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Geoscience Frontiers","Geoscience Frontiers","2.111","Q1","100","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Microchemical Journal","Microchemical Journal","0.75","Q1","117","Chemistry","No","exact","1.0","1"
"Biopreservation and Biobanking:","Biopreservation and Biobanking","0.372","Q3","46","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Journal of Oceanology and Limnology","Journal of Oceanology and Limnology","0.399","Q3","43","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Journal of Microbiology and Biotechnology","Journal of Microbiology and Biotechnology","0.684","Q2","89","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Herpetozoa","Herpetozoa","0.443","Q2","11","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Ecological Management & Restoration","Ecological Management and Restoration","0.816","Q1","53","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","1"
"Physiological Reports","Physiological Reports","0.766","Q2","66","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Mineralogia","Mineralogia","0.368","Q3","13","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Polar Research","Polar Research","0.474","Q2","62","Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Journal of Thrombosis and Thrombolysis","Journal of Thrombosis and Thrombolysis","0.736","Q2","83","Medicine","No","exact","1.0","1"
"The Biologist","Biologist","0.101","Q4","25","Agricultural and Biological Sciences","No","exact","1.0","1"
"International Journal of Food Properties","International Journal of Food Properties","0.736","Q1","87","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Continuum Mechanics and Thermodynamics","Continuum Mechanics and Thermodynamics","0.575","Q2","63","Engineering; Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Clinical and Experimental Pharmacology and Physiology","Clinical and Experimental Pharmacology and Physiology","0.625","Q2","118","Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Acta Crystallographica. Section F Structural Biology and Crystallization Communications","Acta Crystallographica Section F:Structural Biology Communications","0.324","Q3","47","Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy","No","fuzzy","0.8609","1"
"Orthopedics","Orthopedics","0.473","Q2","81","Medicine","No","exact","1.0","1"
"Advances in Experimental Medicine and Biology","Advances in Experimental Medicine and Biology","0.371","Q3","167","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Bulletin of Mathematical Biology","Bulletin of Mathematical Biology","0.702","Q1","101","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Immunology and Microbiology; Mathematics; Neuroscience; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Frontiers in Neural Circuits","Frontiers in Neural Circuits","1.465","Q1","87","Neuroscience","Yes","exact","1.0","1"
"Journal of Ocean University of China","Journal of Ocean University of China","0.319","Q3","37","Earth and Planetary Sciences; Engineering","No","exact","1.0","1"
"Acoustics Australia","Acoustics Australia","0.51","Q2","31","Physics and Astronomy","No","exact","1.0","1"
"Brazilian Journal of Microbiology","Brazilian Journal of Microbiology","0.597","Q3","95","Immunology and Microbiology","Yes","exact","1.0","1"
"Thoracic Surgery Clinics","Thoracic Surgery Clinics","0.606","Q2","58","Medicine","No","exact","1.0","1"
"BMJ Case Report: bcr–","BMJ Case Reports","0.219","Q4","45","Medicine","Yes","fuzzy","0.8936","1"
"Frontiers In Medicine","Frontiers in Medicine","0.962","Q1","102","Medicine","Yes","exact","1.0","1"
"Environmetrics","Environmetrics","0.74","Q2","70","Environmental Science; Mathematics","No","exact","1.0","1"
"Records of The South Australian Museum","Records of the Australian Museum","0.397","Q1","24","Agricultural and Biological Sciences; Arts and Humanities","Yes","fuzzy","0.9143","1"
"Investigacion y Ciencia","Investigacion Clinica","0.118","Q4","25","Medicine","Yes","fuzzy","0.8636","1"
"Turkish Journal of Chemistry","Turkish Journal of Chemistry","0.295","Q3","56","Chemistry","No","exact","1.0","1"
"Annual Review of Ecology and Systematics","Annual Review of Ecology, Evolution, and Systematics","5.214","Q1","254","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.8889","1"
"Indian Journal of Geosciences","Indian Journal of Geosciences","0.147","Q4","17","Earth and Planetary Sciences","No","exact","1.0","1"
"Journal of the Electrochemical Society","Journal of the Electrochemical Society","0.774","Q1","321","Chemistry; Energy; Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Journal of Molecular and Cellular Cardiology","Journal of Molecular and Cellular Cardiology","1.779","Q1","182","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Environmental Sciences","Environmental Earth Sciences","0.683","Q1","161","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","fuzzy","0.88","1"
"Current Opinion in Genetics & Development","Current Opinion in Genetics and Development","2.094","Q1","203","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Ophthalmology","Ophthalmology","4.552","Q1","297","Medicine","No","exact","1.0","1"
"Nanomaterials","Nanomaterials","0.811","Q1","151","Chemical Engineering; Materials Science","Yes","exact","1.0","1"
"Genome Research","Genome Research","3.909","Q1","338","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
